ID,SELECTED_TEXT,prompt,completion
34,BibleThump,"Is used to express sadness or disappointment, either when the user is truly sad or meming.",NEGATIVE
35,SMOrc,"Used on Twitch when someone is being obnoxious, mean, or speaking in all caps.",NEGATIVE
36,MrDestructoid,Is used on Twitch if a channel is suspected of view botting or bringing in fake followers to the channel.,NEGATIVE
37,MonkaHmm,Is used when someone is expressing that they are thinking about something or contemplating a decision.,NEUTRAL
38,FailFish,Is used when someone fails at a task or fails in general. It is often used when the streamer makes a mistake in the game that results in a death or having to redo a portion of the work.,NEGATIVE
39,HeyGuys,Is used on Twitch as a greeting to say “hello” or “Hey Guys.” Many people use it when they first arrive at a channel to greet the streamer and other viewers in the chat.,NEUTRAL
40,SquadW,"Is typically used on Twitch when a streamer or chat user is going on about the double standards in society, getting special favors due to their gender, or acting like a simp. It is typically seen as an anti-sjw emote.",NEGATIVE
41,gachiBASS,It is used when someone is very happy with something they have just witnessed on the stream.,POSITIVE
42,PRChase,"It is generally used in relation to talking about Twitch, as it is the image of the PR director of Twitch, a man named Chase. It can also be used as a general smiling emote.",NEUTRAL
43,CurseLit,"Is used on Twitch to state that something is hot (really, really cool). You will often see it spammed as part of a hype situation along with other hype emotes.",POSITIVE
44,FeelsBadMan,Is used when something sad or discouraging happens or if you are disappointed or failed at a small task.,NEGATIVE
45,FeelsGoodMan,It is used when something good is happening on stream or when your opponent fails.,POSITIVE
46,Kreygasm,"The Kreygasm Twitch emote is used as a shocked, surprised, or as an excited expression, such as “Wow” or “Holy Crap.” It is also used when something suggestive is said on stream or in chat. It is typically used as a reaction to amazing gameplay.",POSITIVE
47,SwiftRage,"The SwiftRage Twitch emote is often used when someone is raging (either from excitement or anger). Viewers will spam it when something frustrating happens on the stream. It is seen as a passionate rage, rather than a tantrum.",NEUTRAL
48,PogU,"PogU is generally used when a streamer does something cool or exciting, like beat a hard boss in a game. It can also be used to express surprise or shock.",POSITIVE
49,TheIlluminati,Is used when people reference or create conspiracy theories or make “Illuminati signs.” It can also be used when something seems sneaky or suspicious on screen.,NEUTRAL
50,DansGame,Is usually used on Twitch when someone is disgusted or annoyed with something the streamer or chat says or does.,NEGATIVE
51,BabyRage,Is used to mock someone who is throwing a tantrum for no reason,NEGATIVE
52,SabaPing,Is used when a server is suffering from ping or low latency.,NEUTRAL
53,MorphinTime,It is often used in waves of nostalgia or when someone has a fantastic idea.,POSITIVE
54,ResidentSleeper,The ResidentSleeper emote is often used on Twitch when a stream or topic is boring.,NEUTRAL
55,Seemsgood,"The Seemsgood emote is used on Twitch as a thumbs up emote either when someone does something good, or in a sarcastic way.",POSITIVE
56,monkaOMEGA,It is used when someone is expressing that they are under a lot of pressure or experiencing anxiety.,NEGATIVE
57,Wutface,"The Wutface Twitch emote is used to express disbelief or shock. Most often, it is spammed when something surprising happens on stream. ",NEUTRAL
58,AYAYA,The AYAYA emote is typically used on Twitch as a sign of excitement or pleasure.,POSITIVE
59,TheThing,TheThing emote is used on Twitch when someone wants to make a funny face,NEUTRAL
60,Keepo,"The Keepo emote is used on Twitch in the same way that Kappa is used, to indicate sarcasm.",NEUTRAL
61,BrokeBack,The BrokeBack emote is used on Twitch when someone does something dopey or if the streamer has a stroke of dumb luck.,NEGATIVE
62,widepeepoHappy,This emote is based on the peepoHappy emote and expresses an intenisfied happiness.,POSITIVE
63,CoolStoryBob,The CoolStoryBob Twitch emote is used in the celebration of Bob Ross or when someone tells a “cool story.”,POSITIVE
64,3Head,"Used when someone says something cheesy, such as a Dad joke.",NEUTRAL
65,YEP,An insincere smile that many people use in situations where they want to appear friendly but not be overly social.,NEUTRAL
66,Pepega,It is based on the Pepe the Frog character and is often spammed ironically when someone is perceived as stupid or as having a mental disability. It can also be used when someone does something odd or out of place on the platform.,NEGATIVE
67,KKona,The KKona Twitch emote is most commonly used as slang for “American” or “Redneck” when someone does something stereotypically American. It can often be seen spammed in a chat where the streamer frequently does things that seem over-the-top to the rest of the world.,NEUTRAL
68,FeelsBirthdayMan,The FeelsBirthdayMan emote is used when celebrating someone’s birthday or when announcing your own birthday. It is also sometimes used in mock celebration.,POSITIVE
